N. PG Atto,Anno PG Atto,Tipologia incarico,Compenso presunto (Euro),Soggetto conferente,Data inzio incarico,Data fine incarico,Durata incarico (gg)
16473,2018,DOCENZA,6200,INDIANA UNIVERSITY - BCSP,12/02/2018,02/05/2018,
16439,2018,DOCENZA,300,UNIVERSITA' DI BOLOGNA,24/01/2018,24/01/2018,
21490,2018,DOCENZA,512,C.F.P. NAZARENO SOC. COOP. SOCIALE,31/01/2018,31/01/2018,
24787,2018,DOCENZA,645,A.I.S. EMILIA,26/01/2018,19/03/2018,
24769,2018,REALIZZAZIONE DI CONTENUTI EDITORIALI PER SITO INTERNET,2500,MAGGIOLI SPA,18/01/2018,31/12/2018,
26339,2018,DOCENZA,280,DEMETRA FORMAZIONE SRL,25/01/2018,25/01/2018,
31051,2018,DOCENZA,360,ASSOCIAZIONE LIBRIAMOCI,14/02/2018,21/03/2018,
31071,2018,DOCENZA,360,ASSOCIAZIONE LIBRIAMOCI,14/03/2018,21/03/2018,
31084,2018,DOCENZA,360,ASSOCIAZIONE LIBRIAMOCI,14/02/2018,21/03/2018,
31097,2018,DOCENZA,360,ASSOCIAZIONE LIBRIAMOCI,14/02/2018,21/03/2018,
34915,2018,TIROCINIO FORMATIVO,0,C.I.PS.PS.I.A.,25/01/2018,31/12/2018,
36061,2018,RELATRICE CONFERENZA,300,UNIONE RENO GALLIERA,11/04/2018,11/04/2018,
40114,2018,DOCENZA,850,ANUTEL,30/01/2018,30/01/2018,
43012,2018,RELATRICE CONFERENZA,0,PATRONATO ITAL UIL DEL TRENTINO,02/02/2018,02/02/2018,
44203,2018,DOCENZA,0,CISL FP BOLOGNA,05/02/2018,15/02/2018,2
44220,2018,DOCENZA,0,CGIL FP BOLOGNA,07/02/2018,07/02/2018,
49161,2018,ASSISTENZA PERSONE DISABILI,1000,ASSOCIAZIONE L'ALIANTE,02/02/2018,31/12/2018,
49185,2018,ATTIVITA' DI TIROCINIO PER STUDENTI,1444,FONDAZIONE ALMA MATER,02/02/2018,31/03/2018,
52823,2018,RELATORE SEMINARIO,0,ORDINE INGEGNERI BOLOGNA,07/02/2018,07/02/2018,
55692,2018,C.T.U.,400,TRIBUNALE DI BOLOGNA,08/02/2018,08/07/2018,
58513,2018,CTU,500,TRIBUNALE DI BOLOGNA,13/02/2018,13/08/2018,180
62539,2018,DOCENZA,500,3F - FORMER SRL,07/03/2018,07/03/2018,
63756,2018,DOCENZA,0,ASSOCIAZIONE A.I.MU.SE,03/03/2018,03/03/2018,
63782,2018,DOCENZA,460,A.I.S. EMILIA,16/02/2018,03/05/2018,
67195,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,UISP,15/02/2018,31/08/2018,
70094,2018,DOCENZA,60,ASSOCIAZIONE AIMI,22/03/2018,19/04/2018,
70520,2018,ASSISTENZA AI DISABILI,1000,ASSOCIAZIONE VOLONTARIATO L'ALIANTE,15/02/2018,31/12/2018,
73436,2018,COMPONENTE COMMISSIONE GIUDICATRICE ,0,UNIONE DELLA ROMAGNA FAENTINA,19/02/2018,19/02/2018,
76881,2018,CTU,500,TRIBUNALE DI BOLOGNA,20/02/2018,20/07/2018,
80995,2018,DOCENZA,4000,FONDAZIONE S. GIUSEPPE CFP C.E.S.T.A.,22/02/2018,31/12/2018,
82042,2018,COMPONENTE DI GIURIA,0,FEDERAZIONE ORNICOLTORI ITALIANI ONLUS,01/08/2018,31/12/2018,
84418,2018,DOCENZA,130,UNIVERSITA' DI BOLOGNA,01/03/2018,01/03/2018,
87213,2018,CONSULENZA,2000,COMUNE DI SAN GIORGIO DI PIANO,28/02/2018,28/04/2018,
90720,2018,CTU,500,TRIBUNALE DI BOLOGNA,22/02/2018,22/08/2018,180
90779,2018,DOCENZA,4000,AUSL BOLOGNA,09/03/2018,25/05/2018,
90750,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,IDEA CALCIO 2000 ASD,01/03/2018,31/12/2018,
95401,2018,DOCENZA,500,CITTA' DI CASTENASO,19/03/2018,19/03/2018,
95359,2018,DOCENZA,0,CENTRO STUDI DI SERVIZIO SOCIALE,12/04/2018,12/04/2018,
97431,2018,DOCENZA,200,Universit? Iuav di Venezia,08/03/2018,08/03/2018,
98165,2018,CONSULENZA,2700,GREEN TEAM SOC. COOP.,06/03/2018,31/05/2018,
106595,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,F.I.P. FEDERAZIONE ITALIANA PALLACANESTRO,12/03/2018,30/09/2018,
114449,2018,TIROCINIO (PRATICA FORENSE),0,STUDIO LEGALE AVV. STEFANO SERMENGHI,16/03/2018,16/04/2019,
114432,2018,ESPERTO DEL TRIBUNALE DI SORVEGLIANZA,1,TRIBUNALE DI SORVEGLIANZA DI BOLOGNA,16/03/2018,31/12/2019,
117675,2018,DOCENZA,0,ASSOCIAZIONE A.I.MU.SE.,20/04/2018,20/04/2018,
119354,2018,ISTRUTTORE ARBITRI DI PALLACANESTRO IN AMBITO DILETTANTISTICO,315,FEDERAZIONE ITALIANA PALLACANESTRO,28/03/2018,03/04/2018,7
121131,2018,CTU,600,TRIBUNALE DI BOLOGNA,22/03/2018,22/08/2018,
125766,2018,DOCENZA,1000,ANUTEL,27/03/2018,28/03/2018,2
125391,2018,RELATRICE CONFERENZA,150,ACCADEMIA DI BELLE ARTI BOLOGNA,11/04/2018,11/04/2018,
131195,2018,DOCENZA,960,FORMart Soc. Cons. s.r.l.,03/04/2018,08/05/2018,
131767,2018,COMPONENTE COMMISSIONE DI GARA,200,UNIONE DEI COMUNI SAVENA - IDICE,06/04/2018,27/04/2018,
135148,2018,AMMINISTRATORE DI SOSTEGNO,0,TRIBUNALE DI BOLOGNA,03/04/2018,31/12/2028,
140068,2018,DOCENZA,0,UIL FPL EMILIA ROMAGNA E BOLOGNA,10/04/2018,10/04/2018,
143333,2018,DOCENZA,100,AIS EMILIA,13/04/2018,14/05/2018,2
143311,2018,ARTETERAPIA DEL COLORE,1032,ENTE MORALE ISTITUTO CASE DI RIPOSO S. ANNA E S. CATERINA,09/04/2018,31/12/2018,
143376,2018,DOCENZA,400,FONDAZIONE CINETECA DI BOLOGNA,23/04/2018,23/04/2018,
143286,2018,DOCENZA,400,ADI AUTONOMIA DEMOCRAZIA INSIEME,07/04/2018,07/04/2018,
145170,2018,DOCENZA,438,CISL FP AREA METROPOLITANA BOLOGNESE,14/04/2018,21/04/2018,2
145155,2018,DOCENZA,200,FP CGIL BOLOGNA,07/05/2018,07/05/2018,
145138,2018,ATTIVITA' ARTISTICA,250,COMUNE DI SAN LAZZARO DI SAVENA,20/05/2018,20/05/2018,
147351,2018,CONSULENZA AL RUP,1280,AZIENDA USL DI DI BOLOGNA,11/04/2018,17/04/2018,7
147812,2018,"STESURA TESTO PER IL VOLUME ""BOLOGNA - LA FONTANA DEL NETTUNO""",1500,SCRIPTA MANEANT SRL,11/04/2018,30/04/2018,
160577,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,F.I.S.R. Federazione Italiana Sport Rotellistici,22/04/2018,21/04/2019,
160607,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,UISP - COMITATO REGIONALE EMILIA ROMAGNA,22/04/2018,21/04/2019,
164745,2018,DOCENZA,103.28,AZIENDA USL DI BOLOGNA,18/05/2018,18/05/2018,
164716,2018,DOCENZA,2538,C.T.C. CENTRO TECNICO DEL COMMERCIO,02/05/2018,31/10/2018,
177012,2018,DOCENZA,2313.36,ISTITUTO COMPRENSIVO STATALE MONTE S. PIETRO,17/05/2018,05/10/2018,
180072,2018,COMPONENTE ESPERTO COMMISSIONE CONCORSO,800,UNIONE RENO GALLIERA,04/05/2018,16/07/2018,
180588,2018,DOCENZA,200,ERVET SPA,07/05/2018,07/05/2018,
183392,2018,C.T.U.,2000,TRIBUNALE DI BOLOGNA,07/05/2018,06/10/2018,
186021,2018,ATTIVITA' DI FORMAZIONE PER ALLENATORI DI PALLAVOLO,0,FIPAV - FEDERAZIONE ITALIANA PALLAVOLO,08/05/2018,07/05/2019,
191294,2018,COMPONENTE COMMISSIONE DI CONCORSO,285,UNIONE DEI COMUNI DELL'APPENNINO BOLOGNESE,15/05/2018,15/08/2018,
195803,2018,DOCENZA CORSI PER SOMMELIER,660,AIS EMILIA ,18/05/2018,14/11/2018,
205331,2018,DOCENZA,546,ALMA MATER STUDIORUM - UNIVERSITA' DI BOLOGNA,23/05/2018,23/05/2018,
205347,2018,TIROCINIO (PRATICA FORENSE),0,STUDIO LEGALE GRASSANI E ASSOCIATI ,17/05/2018,16/11/2019,
211907,2018,MEMBRO ESPERTO COMMISSIONECONCORSO,285,UNIONE DEI COMUNI DELL'APPENNINO BOLOGNESE,01/06/2018,31/08/2018,
212615,2018,CONSULENZA AL RUP,3500,COMUNE DI MOLINELLA,01/06/2018,30/09/2018,
211873,2018,LABORATORIO TEATRALE,4593.75,OFFICINA DELLE API - ARTI PER L'INCLUSIONE,04/06/2018,30/06/2019,
217527,2018,C.T.U.,1500,TRIBUNALE DI BOLOGNA,24/05/2018,23/10/2018,
221247,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,KEN SHIN DO ITALIA A.S.D.,01/09/2018,31/08/2019,
220497,2018,ATTIVITA' DI FORMAZIONE,2000,Deutsche Gesellschaft f?r Internationale Zusammenarbeit (GIZ) GmbH,11/06/2018,14/06/2018,
225637,2018,DOCENZA,154.94,CNR - ISEM SEDE DI CAGLIARI,08/06/2018,08/06/2018,
225720,2018,STESURA TESTO ,245,ISTITUTO DELL'ENCICLOPEDIA ITALIANA TRECCANI,01/06/2018,30/06/2018,
227858,2018,COMPONENTE COMMISSIONE DI GARA,200,UNIONE DEI COMUNI SAVENA - IDICE,11/06/2018,22/06/2018,
230014,2018,DOCENZA,0,ORDINE DEGLI INGEGNERI DELLA PROVINCIA DI BOLOGNA,05/06/2018,05/06/2018,
242848,2018,COMPONENTE COMMISSIONE DI GARA,200,UNIONE DEI COMUNI SAVENA - IDICE,13/06/2018,29/06/2018,
247365,2018,DOCENZA,250,ZEROSEIUP SRL,14/06/2018,14/06/2018,
247352,2018,DOCENZA,250,ZEROSEI UP SRL,14/06/2018,14/06/2018,
247320,2018,DOCENZA,650,ANUTEL,19/06/2018,19/06/2018,
249644,2018,CONCLUSIONE ATTIVITA' DI PROGETTAZIONE E DI REDAZIONE DI TITOLI EDILIZI,10000,SAPERE TECNICO DELL'ING. PIERPAOLO FREO,11/06/2018,30/11/2018,
271837,2018,CONCLUSIONE PRESTAZIONI PROFESSIONALI IN CORSO ALLA DATA DELL'ASSUNZIONE IN DEROGA,1,COMMITTENTI VARI,18/06/2018,15/12/2018,
271923,2018,SOCIA ACCOMANDANTE IN S.A.S,1,SOCIETA' AGRICOLA COLTURE EMILIANE ARBOREE - S.A.C.E.A DI GUBERTI ITALO & C. S.A.S,21/06/2018,31/12/2028,
289021,2018,DOCENZA,650,ANUTEL,05/07/2018,05/07/2018,
294065,2018,RILEVATORE CENSIMENTO,1,COMUNE DI COPPARO,01/10/2018,20/12/2018,
294042,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,UISP BOLOGNA,09/07/2018,08/07/2019,
294077,2018,"RELATRICE NELL'AMBITO EVENTO ""OTIA VITIA""",150,PROLOCO DI FANO,13/07/2018,13/07/2018,
295606,2018,CONSULENTE TECNICO D'UFFICIO (C.T.U.),1500,TRIBUNALE DI BOLOGNA,10/07/2018,09/12/2018,
299598,2018,CONSULENZA,1850,CERPA ITALIA ONLUS,12/07/2018,30/09/2018,
302666,2018,RILEVATORE PER CENSIMENTO 2018,1,COMUNE DI ARGENTA,01/09/2018,31/12/2018,
303430,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,TIRO A SEGNO NAZIONALE - SEZIONE DI BOLOGNA,16/07/2018,15/07/2019,
308657,2018,ATTIVITA' DI TRADUZIONE,600,CULTURAL ENDOWMENT OF ESTONIA,19/07/2018,31/12/2018,
309830,2018,PRESIDENTE COMMISSIONE DI GARA,500,UNIONE DEI COMUNI TERRE DI PIANURA,01/08/2018,31/08/2018,
309805,2018,ATTIVITA' SPORTIVA DILETTANTISTICA - ISTRUTTRICE DI YOGA,0,CENTRO YOGA,03/10/2018,02/07/2019,
311994,2018,RILEVATORE CENSIMENTO 2018,1,COMUNE DI ARGENTA,01/10/2018,20/12/2018,
314912,2018,PRESIDENTE COMMISSIONE DI GARA,200,UNIONE DEI COMUNI SAVENA - IDICE,25/07/2018,14/09/2018,
317895,2018,RILEVATORE STATISTICO PER CENSIMENTO,1,UNIONE DELLA ROMAGNA FAENTINA,01/10/2018,20/12/2018,
317884,2018,RILEVATORE STATISTICO PER CENSIMENTO,1,UNIONE DELLA ROMAGNA FAENTINA,01/10/2018,20/12/2018,
318539,2018,PRESIDENTE COMMISSIONE DI GARA,500,UNIONE DEI COMUNI TERRE DI PIANURA,01/08/2018,15/08/2018,
318553,2018,PRESIDENTE COMMISSIONE DI GARA,500,UNIONE DEI COMUNI TERRE DI PIANURA,01/08/2018,15/08/2018,
320358,2018,DOCENZA,3000,ANPAS EMILIA ROMAGNA,01/09/2018,30/12/2018,
321025,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,BSL SAN LAZZARO SSD a RL,01/10/2018,30/09/2019,
332431,2018,PRESIDENTE COMMISSIONE DI GARA,1500,COMUNE DI FERRARA,06/08/2018,30/09/2018,
332487,2018,COMPONENTE COMMISSIONE GIUDICATRICE,0,COMUNE DI FERRARA,01/09/2018,30/09/2018,
332507,2018,COMPONENTE GIURIA PREMIO NAZIONALE ARTI,0,ACCADEMIA DI BELLE ARTI DI PALERMO,26/08/2018,28/08/2018,
343439,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,0,POLISPORTIVA OZZANESE A.S.D.,01/09/2018,30/04/2019,
343463,2018,VICEPRESIDENTE CONSIGLIO DIRETTIVO,0,"ASSOCIAZIONE CULTURALE ""OLTRE ART""",20/08/2018,31/12/2020,
343775,2018,COMPONENTE CONSIGLIO DI AMMINISTRAZIONE,0,CAMILLA-EMPORIO DI COMUNITA' - SOCIETA' COOPERATIVA,20/08/2018,31/12/2021,
343453,2018,COMPONENTE DEL CONSIGLIO DI DISCIPLINA,1,ORDINE DEGLI ASSISTENTI SOCIALI EMILIA ROMAGNA,20/08/2018,19/08/2023,
343949,2018,ATTIVITA' SPORTIVA DILETTANTISTICA,10000,KLEB BASKET FERRARA S.S.D. ARL,20/08/2018,15/06/2019,
345371,2018,RELATORE INCONTRI-CONFERENZA,2800,INDIANA UNIVERSITY BCSP,12/09/2018,27/10/2018,
345353,2018,CONSULENZA,2800,MOLINELLA FUTURA SRL,01/09/2018,30/11/2018,
345948,2018,DOCENZA,810,SIPL,24/09/2018,26/09/2018,
348230,2018,PRESIDENTE DI SEGGIO ELEZIONI CONSORTILI,1200,CONSORZIO DI BONIFICA DELL'EMILIA CENTRALE,24/09/2018,30/09/2018,
352842,2018,PRESIDENTE COMMISSIONE DI GARA,600,UNIONE DEI COMUNI SAVENA - IDICE,27/08/2018,14/09/2018,
353878,2018,DOCENZA,150,AIS EMILIA,01/09/2018,02/09/2018,
357991,2018,COMPONENTE COMMISSIONE DI GARA,200,UNIONE DEI COMUNI SAVENA IDICE,03/09/2018,21/09/2018,
368290,2018,DOCENZA,320,AIS EMILIA,08/09/2018,28/09/2018,
370272,2018,COMPONENTE COMMISSIONE CONCORSO,285,UNIONE DEI COMUNI APPENNINO BOLOGNESE,20/09/2018,31/12/2018,
370244,2018,RILEVATORE ISTAT PER CENSIMENTO 2018,1,UNIONE DEI COMUNI DELLA BASSA ROMAGNA,01/10/2018,31/12/2018,
370175,2018,RILEVATORE ISTAT PER CENSIMENTO 2018,1,UNIONE RENO GALLIERA,01/10/2018,31/12/2018,
370168,2018,RILEVATORE ISTAT PER CENSIMENTO 2018,1,UNIONE RENO GALLIERA,01/10/2018,31/12/2018,
370084,2018,ATTIVITA' SPORTIVA DILETTANTISTICA: FORMATORE DI EDUCAZIONE STRADALE,0,FMI - FEDERAZIONE MOTOCICLISTICA ITALIANA,11/09/2018,10/09/2019,
370071,2018,ATTIVITA' SPORTIVA DILETTANTISTICA: FORMATORE DI EDUCAZIONE STRADALE,0,FMI - FEDERAZIONE MOTOCICLISTICA ITALIANA,11/09/2018,10/09/2019,
370041,2018,ATTIVITA' SPORTIVA DILETTANTISTICA: FORMATORE DI EDUCAZIONE STRADALE,0,FMI - FEDERAZIONE MOTOCICLISTICA ITALIANA,11/09/2018,10/09/2019,
370026,2018,ATTIVITA' SPORTIVA DILETTANTISTICA: FORMATORE DI EDUCAZIONE STRADALE,0,FMI - FEDERAZIONE MOTOCICLISTICA ITALIANA,11/09/2018,10/09/2019,
